alpha,beta,chain
-0.21183044,0.20440584,chain_0
-0.25717756,0.21750063,chain_0
-0.21495216,0.20941453,chain_0
-0.21099472,0.17497554,chain_0
-0.20585293,0.14529164,chain_0
-0.19616245,0.18332204,chain_0
-0.19583203,0.14474668,chain_0
-0.22918837,0.16377214,chain_0
-0.212762,0.18311515,chain_0
-0.2047078,0.21413867,chain_0
-0.18580699,0.1746293,chain_0
-0.20636922,0.17372227,chain_0
-0.21008737,0.2099243,chain_0
-0.23206723,0.17124726,chain_0
-0.22592515,0.1575712,chain_0
-0.21900691,0.17488365,chain_0
-0.21134439,0.1741619,chain_0
-0.21795213,0.15565038,chain_0
-0.24842927,0.19980094,chain_0
-0.1942476,0.15359128,chain_0
-0.22740805,0.21265021,chain_0
-0.23140584,0.17623647,chain_0
-0.2538711,0.21443914,chain_0
-0.21066177,0.18920755,chain_0
-0.21570344,0.18505308,chain_0
-0.25097907,0.1713294,chain_0
-0.23878849,0.16582869,chain_0
-0.1935695,0.13700347,chain_0
-0.19753781,0.17546238,chain_0
-0.2155531,0.20513897,chain_0
-0.2231531,0.18780814,chain_0
-0.20286104,0.18349865,chain_0
-0.21562813,0.13723479,chain_0
-0.1512059,0.12169525,chain_0
-0.23767394,0.17987706,chain_0
-0.21178381,0.15639843,chain_0
-0.22349899,0.16572061,chain_0
-0.20652005,0.14436293,chain_0
-0.21875404,0.1857823,chain_0
-0.22226048,0.16548482,chain_0
-0.18338701,0.16213328,chain_0
-0.18825132,0.16463156,chain_0
-0.20743726,0.19569978,chain_0
-0.2048126,0.18803494,chain_0
-0.18616304,0.16034487,chain_0
-0.23578294,0.17990528,chain_0
-0.20189327,0.15993328,chain_0
-0.20718417,0.15016386,chain_0
-0.22565554,0.15553169,chain_0
-0.20773199,0.17157516,chain_0
-0.22085771,0.17122605,chain_0
-0.22761959,0.17060244,chain_0
-0.21566296,0.16719724,chain_0
-0.24510013,0.17436855,chain_0
-0.20918122,0.14969091,chain_0
-0.22482222,0.1773256,chain_0
-0.20686327,0.19177325,chain_0
-0.1954476,0.14934805,chain_0
-0.21893145,0.16626422,chain_0
-0.21804163,0.18159497,chain_0
-0.2131649,0.18134557,chain_0
-0.21708761,0.19092998,chain_0
-0.24803266,0.23532243,chain_0
-0.19542587,0.15463138,chain_0
-0.19762903,0.17676559,chain_0
-0.23228034,0.19036043,chain_0
-0.21830869,0.2072283,chain_0
-0.20645721,0.16542707,chain_0
-0.19178976,0.13469669,chain_0
-0.2096265,0.1787076,chain_0
-0.23170178,0.19466768,chain_0
-0.25428417,0.20826502,chain_0
-0.20050709,0.14246424,chain_0
-0.21638091,0.16722727,chain_0
-0.22524531,0.18654841,chain_0
-0.19982348,0.16115242,chain_0
-0.22607008,0.17980322,chain_0
-0.24670468,0.1994003,chain_0
-0.21639071,0.15488662,chain_0
-0.19449566,0.16217999,chain_0
-0.20615646,0.1818053,chain_0
-0.22090858,0.18626162,chain_0
-0.2104568,0.15949887,chain_0
-0.21764374,0.20232354,chain_0
-0.20247331,0.16732603,chain_0
-0.20944282,0.20668101,chain_0
-0.1945977,0.17142504,chain_0
-0.24371946,0.18281381,chain_0
-0.21937023,0.21082427,chain_0
-0.19038865,0.1669367,chain_0
-0.22523688,0.18347621,chain_0
-0.23503819,0.20024928,chain_0
-0.20213285,0.15781827,chain_0
-0.1929332,0.16836025,chain_0
-0.26400924,0.2312792,chain_0
-0.20163909,0.17169042,chain_0
-0.2078956,0.18231788,chain_0
-0.2085455,0.16272862,chain_0
-0.22680251,0.21245238,chain_0
-0.23331243,0.16413489,chain_0
-0.21258563,0.16008963,chain_0
-0.23676933,0.20303114,chain_0
-0.19513594,0.17515509,chain_0
-0.21925709,0.17015971,chain_0
-0.21947186,0.16070439,chain_0
-0.20685829,0.20689341,chain_0
-0.20948173,0.16989213,chain_0
-0.2267198,0.17939125,chain_0
-0.22234869,0.17219763,chain_0
-0.21586081,0.18002065,chain_0
-0.23550574,0.16943401,chain_0
-0.23463877,0.16760656,chain_0
-0.25971007,0.18386658,chain_0
-0.22183277,0.21194911,chain_0
-0.23508209,0.18289515,chain_0
-0.24458529,0.1926706,chain_0
-0.2005619,0.18531449,chain_0
-0.23568326,0.15523167,chain_0
-0.24511774,0.24278219,chain_0
-0.19887699,0.16881907,chain_0
-0.23104265,0.16855188,chain_0
-0.22656512,0.19570641,chain_0
-0.21527301,0.16048111,chain_0
-0.21280473,0.18406965,chain_0
-0.21188653,0.16608301,chain_0
-0.21327336,0.17550367,chain_0
-0.25805247,0.1984436,chain_0
-0.24149038,0.2176668,chain_0
-0.21309282,0.21126997,chain_0
-0.18942417,0.18528786,chain_0
-0.22865175,0.1675297,chain_0
-0.21960665,0.16471392,chain_0
-0.21188797,0.16116846,chain_0
-0.2134818,0.18049408,chain_0
-0.21726915,0.17465726,chain_0
-0.19936998,0.12277497,chain_0
-0.23548435,0.18809666,chain_0
-0.23826075,0.18832886,chain_0
-0.20971888,0.19084735,chain_0
-0.24726701,0.20823157,chain_0
-0.21117347,0.19419517,chain_0
-0.2096,0.16566849,chain_0
-0.19417436,0.16170733,chain_0
-0.22649863,0.1558867,chain_0
-0.18803631,0.1743477,chain_0
-0.19971097,0.17347644,chain_0
-0.203705,0.16552955,chain_0
-0.21435498,0.18328966,chain_0
-0.19229376,0.19320531,chain_0
-0.2151051,0.18810071,chain_0
-0.18151881,0.16134249,chain_0
-0.21072991,0.19040026,chain_0
-0.20521103,0.17602009,chain_0
-0.22020245,0.18487346,chain_0
-0.2045514,0.14781332,chain_0
-0.17871453,0.17294942,chain_0
-0.23892525,0.21392633,chain_0
-0.20266221,0.15458323,chain_0
-0.22309446,0.17801702,chain_0
-0.21002363,0.16431573,chain_0
-0.2159131,0.17958602,chain_0
-0.24374494,0.21215148,chain_0
-0.19996956,0.1640152,chain_0
-0.21522737,0.20759232,chain_0
-0.25711823,0.23724958,chain_0
-0.20389229,0.19389491,chain_0
-0.2216331,0.16765007,chain_0
-0.24069478,0.19085325,chain_0
-0.2335855,0.2315741,chain_0
-0.20350467,0.1763154,chain_0
-0.18386331,0.1720976,chain_0
-0.2080212,0.1698561,chain_0
-0.20645574,0.19999658,chain_0
-0.22341147,0.21033427,chain_0
-0.22712511,0.19435471,chain_0
-0.20430936,0.177817,chain_0
-0.22695127,0.19520418,chain_0
-0.2133545,0.15926115,chain_0
-0.20179324,0.15901211,chain_0
-0.2556648,0.19149734,chain_0
-0.23419164,0.17699522,chain_0
-0.2373823,0.17777434,chain_0
-0.23008771,0.21831562,chain_0
-0.20938778,0.17090094,chain_0
-0.22883771,0.20299748,chain_0
-0.23345113,0.15770158,chain_0
-0.20355418,0.2273123,chain_0
-0.21828818,0.17693874,chain_0
-0.1912971,0.19545189,chain_0
-0.20883091,0.17592748,chain_0
-0.24190684,0.17726308,chain_0
-0.20338276,0.1622775,chain_0
-0.21747957,0.19557746,chain_0
-0.24007697,0.1824835,chain_0
-0.21473466,0.17519633,chain_0
-0.22090258,0.1793094,chain_0
-0.24112451,0.20550407,chain_0
-0.24899887,0.20238061,chain_0
-0.24106112,0.18828742,chain_0
-0.20645429,0.16436762,chain_0
-0.23365226,0.19395886,chain_0
-0.22064422,0.20249191,chain_0
-0.22877333,0.16384102,chain_0
-0.24738766,0.19747604,chain_0
-0.22965777,0.21384905,chain_0
-0.19436005,0.18735155,chain_0
-0.23507625,0.19234923,chain_0
-0.22702086,0.20353833,chain_0
-0.2045133,0.18390523,chain_0
-0.19789226,0.18108279,chain_0
-0.20223899,0.1683482,chain_0
-0.2361361,0.18904187,chain_0
-0.21819302,0.17617893,chain_0
-0.21872938,0.17300369,chain_0
-0.22598507,0.14877595,chain_0
-0.21208054,0.18660699,chain_0
-0.24850558,0.20266517,chain_0
-0.23853458,0.18398963,chain_0
-0.22402585,0.21591645,chain_0
-0.2142619,0.15903795,chain_0
-0.2172662,0.17444238,chain_0
-0.20757826,0.17510363,chain_0
-0.22019567,0.1831905,chain_0
-0.21898375,0.18842635,chain_0
-0.22082734,0.17963964,chain_0
-0.238253,0.19888633,chain_0
-0.24151751,0.19317678,chain_0
-0.24607292,0.17678885,chain_0
-0.20751756,0.16842219,chain_0
-0.21281748,0.18383466,chain_0
-0.25102705,0.24241173,chain_0
-0.20764649,0.18360269,chain_0
-0.24140137,0.19680092,chain_0
-0.21978259,0.20203485,chain_0
-0.2021857,0.16858497,chain_0
-0.2000285,0.17546718,chain_0
-0.23019953,0.1913471,chain_0
-0.22178836,0.20927218,chain_0
-0.21685897,0.15520468,chain_0
-0.22705083,0.22693264,chain_0
-0.24038097,0.21133798,chain_0
-0.21125594,0.19585116,chain_0
-0.24960528,0.23223369,chain_0
-0.20190004,0.16862857,chain_0
-0.22097827,0.18424366,chain_0
-0.21476725,0.18156487,chain_0
-0.19974717,0.16668394,chain_0
-0.2038624,0.14008543,chain_0
-0.23166795,0.19065925,chain_0
-0.24506399,0.20086913,chain_0
-0.22915965,0.15043601,chain_0
-0.19494998,0.16702686,chain_0
-0.23281713,0.19976509,chain_0
-0.20770197,0.14689139,chain_0
-0.20604753,0.15773363,chain_0
-0.22135648,0.17782182,chain_0
-0.23101439,0.19127265,chain_0
-0.23288704,0.1870065,chain_0
-0.2159552,0.19952823,chain_0
-0.27027208,0.22794724,chain_0
-0.21629168,0.20468307,chain_0
-0.2229423,0.19603755,chain_0
-0.21895455,0.18539624,chain_0
-0.20987605,0.16227797,chain_0
-0.22633442,0.18416244,chain_0
-0.23462415,0.17506972,chain_0
-0.19882861,0.13181183,chain_0
-0.19713509,0.15779617,chain_0
-0.21036342,0.18835568,chain_0
-0.22519617,0.18050678,chain_0
-0.2284521,0.18426569,chain_0
-0.22371854,0.1880157,chain_0
-0.20942363,0.1869516,chain_0
-0.19977337,0.17171803,chain_0
-0.22368652,0.17871815,chain_0
-0.19317552,0.16417608,chain_0
-0.21939997,0.1854318,chain_0
-0.22077675,0.20588963,chain_0
-0.2168675,0.19987996,chain_0
-0.24718812,0.2205088,chain_0
-0.2120918,0.17217578,chain_0
-0.21116729,0.16740204,chain_0
-0.19637689,0.17327994,chain_0
-0.20682499,0.16670282,chain_0
-0.21399398,0.21026266,chain_0
-0.1976461,0.16521461,chain_0
-0.23769206,0.1715171,chain_0
-0.21086952,0.18954667,chain_0
-0.22646984,0.16067216,chain_0
-0.22753881,0.1748893,chain_0
-0.21324524,0.18890107,chain_0
-0.2090791,0.14160918,chain_0
-0.23209192,0.22242638,chain_0
-0.24755841,0.19882923,chain_0
-0.21168335,0.16876371,chain_0
-0.20009679,0.189387,chain_0
-0.20762156,0.18153824,chain_0
-0.23864725,0.18940717,chain_0
-0.21222185,0.14749444,chain_0
-0.19078952,0.15525852,chain_0
-0.215567,0.15035588,chain_0
-0.23456115,0.19806284,chain_0
-0.24007301,0.20743218,chain_0
-0.21757077,0.17468284,chain_0
-0.2152112,0.16131179,chain_0
-0.21795715,0.20825137,chain_0
-0.21351627,0.16977616,chain_0
-0.20619574,0.15665808,chain_0
-0.23540482,0.20589694,chain_0
-0.19769241,0.17232583,chain_0
-0.21058573,0.16216998,chain_0
-0.21522884,0.16205584,chain_0
-0.21445875,0.18745343,chain_0
-0.22756872,0.19032384,chain_0
-0.20991513,0.17427137,chain_0
-0.21989158,0.16216274,chain_0
-0.19878843,0.16674873,chain_0
-0.2143075,0.15860309,chain_0
-0.21265651,0.19747815,chain_0
-0.19096634,0.14254433,chain_0
-0.20585729,0.16259488,chain_0
-0.23920129,0.1969805,chain_0
-0.2121406,0.18965596,chain_0
-0.21065146,0.14892009,chain_0
-0.20194328,0.17036478,chain_0
-0.19446817,0.16782914,chain_0
-0.21997131,0.16342035,chain_0
-0.20400213,0.20390981,chain_0
-0.21322425,0.16604424,chain_0
-0.20702937,0.15066873,chain_0
-0.21932364,0.19848534,chain_0
-0.21900028,0.1662026,chain_0
-0.24018176,0.22538543,chain_0
-0.21233243,0.15392484,chain_0
-0.22722706,0.16310261,chain_0
-0.19315368,0.17196041,chain_0
-0.21493247,0.16210745,chain_0
-0.23071866,0.21287051,chain_0
-0.23695002,0.19968544,chain_0
-0.23446324,0.2029699,chain_0
-0.21442215,0.16253017,chain_0
-0.23075466,0.19665208,chain_0
-0.2238437,0.212655,chain_0
-0.21607931,0.19730805,chain_0
-0.22318442,0.1594672,chain_0
-0.22887175,0.18910012,chain_0
-0.21725136,0.17981006,chain_0
-0.20684992,0.19437473,chain_0
-0.21888669,0.1866848,chain_0
-0.22253361,0.18744615,chain_0
-0.21438047,0.16613434,chain_0
-0.21235935,0.15201642,chain_0
-0.20658629,0.17196888,chain_0
-0.23154192,0.18286435,chain_0
-0.21788105,0.18999496,chain_0
-0.24586913,0.20414507,chain_0
-0.23487203,0.18691763,chain_0
-0.19797884,0.15133458,chain_0
-0.21662605,0.14665765,chain_0
-0.20576754,0.17289317,chain_0
-0.21748546,0.19729365,chain_0
-0.21409903,0.1745369,chain_0
-0.19679861,0.14370559,chain_0
-0.22461547,0.18108585,chain_0
-0.22479223,0.21112484,chain_0
-0.2150023,0.19910815,chain_0
-0.19652194,0.17253011,chain_0
-0.21597159,0.16855936,chain_0
-0.2204799,0.19440587,chain_0
-0.24018463,0.2115555,chain_0
-0.19243835,0.16828656,chain_0
-0.2007582,0.18800195,chain_0
-0.21934597,0.15777029,chain_0
-0.22715059,0.18472615,chain_0
-0.24108769,0.16371074,chain_0
-0.22076912,0.19488573,chain_0
-0.23093414,0.18636967,chain_0
-0.20342217,0.18695806,chain_0
-0.22202143,0.17469707,chain_0
-0.19757408,0.18311273,chain_0
-0.19922784,0.16131003,chain_0
-0.20935765,0.181593,chain_0
-0.19120063,0.1484591,chain_0
-0.17366648,0.16395862,chain_0
-0.20711243,0.1720923,chain_0
-0.2155519,0.17526808,chain_0
-0.2330458,0.18572657,chain_0
-0.23079921,0.19000164,chain_0
-0.22697413,0.20309493,chain_0
-0.22945736,0.16545777,chain_0
-0.20783088,0.15001431,chain_0
-0.22107019,0.18680644,chain_0
-0.2267988,0.19155043,chain_0
-0.22211772,0.16769594,chain_0
-0.19073993,0.19913705,chain_0
-0.25687566,0.2246733,chain_0
-0.24192154,0.1993764,chain_0
-0.20905003,0.17213519,chain_0
-0.22571157,0.18519099,chain_0
-0.2113972,0.18747094,chain_0
-0.2429109,0.1794295,chain_0
-0.21441437,0.16110927,chain_0
-0.20774274,0.17124431,chain_0
-0.23146905,0.18433616,chain_0
-0.21449651,0.17057577,chain_0
-0.23599952,0.19766311,chain_0
-0.20989017,0.17232807,chain_0
-0.20671897,0.20953429,chain_0
-0.23113512,0.16293265,chain_0
-0.21833584,0.17881104,chain_0
-0.19422665,0.16743293,chain_0
-0.22974037,0.19184366,chain_0
-0.2025963,0.17358568,chain_0
-0.24713717,0.18026516,chain_0
-0.21358682,0.19594166,chain_0
-0.2126192,0.18903685,chain_0
-0.2283966,0.19262615,chain_0
-0.22004022,0.20131873,chain_0
-0.23219159,0.17679107,chain_0
-0.2203719,0.19024909,chain_0
-0.20175175,0.1615306,chain_0
-0.22245881,0.19053277,chain_0
-0.211752,0.15501755,chain_0
-0.22300784,0.15504268,chain_0
-0.23632629,0.22067566,chain_0
-0.2075706,0.16809571,chain_0
-0.20157659,0.15590411,chain_0
-0.23489012,0.20774691,chain_0
-0.21151838,0.17240448,chain_0
-0.21140432,0.15228811,chain_0
-0.21914703,0.21011853,chain_0
-0.20206471,0.1789682,chain_0
-0.22647946,0.18202595,chain_0
-0.22655821,0.20771842,chain_0
-0.20779571,0.16484246,chain_0
-0.20471369,0.16214971,chain_0
-0.19571495,0.13387424,chain_0
-0.2464286,0.21421662,chain_0
-0.22948481,0.19310217,chain_0
-0.18548436,0.16602194,chain_0
-0.1928655,0.1686878,chain_0
-0.21802267,0.15936436,chain_0
-0.18349451,0.14675595,chain_0
-0.23687726,0.19704223,chain_0
-0.20211253,0.18213566,chain_0
-0.22649924,0.17932536,chain_0
-0.22297879,0.19178206,chain_0
-0.20283827,0.17287543,chain_0
-0.23151864,0.21381299,chain_0
-0.19632258,0.15389368,chain_0
-0.24729508,0.17867167,chain_0
-0.20363724,0.1596395,chain_0
-0.22362886,0.1786833,chain_0
-0.1972188,0.1434046,chain_0
-0.18883057,0.14887491,chain_0
-0.24614674,0.19501652,chain_0
-0.20395377,0.15723106,chain_0
-0.21663961,0.17910479,chain_0
-0.20035964,0.15005343,chain_0
-0.1933038,0.14877555,chain_0
-0.20822696,0.18319812,chain_0
-0.21563794,0.15345852,chain_0
-0.19933018,0.17647119,chain_0
-0.19531973,0.17253129,chain_0
-0.24313964,0.18263566,chain_0
-0.21202795,0.18299152,chain_0
-0.21904811,0.18743494,chain_0
-0.22844626,0.22551033,chain_0
-0.24189465,0.20936808,chain_0
-0.25789818,0.23610938,chain_0
-0.21028174,0.17753889,chain_0
-0.21620934,0.1628801,chain_0
-0.22456484,0.16036198,chain_0
-0.21052478,0.16889727,chain_0
-0.23418984,0.17545712,chain_0
-0.20766738,0.1612983,chain_0
-0.18292174,0.19156082,chain_0
-0.22607394,0.17680751,chain_0
-0.21328953,0.18039286,chain_0
-0.21052186,0.1897888,chain_0
-0.2076492,0.1590125,chain_0
-0.18734792,0.16986401,chain_0
-0.20086062,0.18030383,chain_0
-0.24642335,0.2320622,chain_0
-0.20205086,0.1857766,chain_0
-0.2048049,0.19744998,chain_0
-0.23866856,0.18589705,chain_0
-0.20682286,0.18227841,chain_0
-0.19310084,0.17031477,chain_0
-0.25163192,0.23813304,chain_0
-0.22091626,0.19101731,chain_0
-0.21357015,0.22304818,chain_0
-0.19296308,0.16162495,chain_0
-0.2475861,0.1924637,chain_0
-0.20897889,0.17831261,chain_0
-0.23411356,0.17810507,chain_0
-0.22383007,0.19275692,chain_0
-0.24365164,0.20526852,chain_0
-0.1958983,0.13510068,chain_0
-0.22702008,0.17891037,chain_0
-0.23710026,0.19849296,chain_0
-0.21101767,0.18392679,chain_0
-0.19617024,0.16516502,chain_0
-0.19683473,0.1418494,chain_0
-0.22806396,0.17040184,chain_0
-0.18509585,0.16341126,chain_0
-0.22165327,0.17231663,chain_0
-0.23439603,0.18891722,chain_0
-0.20754553,0.1813393,chain_0
-0.24632147,0.18152253,chain_0
-0.2163449,0.19342102,chain_0
-0.21459343,0.1617631,chain_0
-0.23956914,0.17057955,chain_0
-0.22821653,0.16839829,chain_0
-0.21676879,0.23286965,chain_0
-0.2435339,0.18450834,chain_0
-0.22194254,0.17899473,chain_0
-0.2045745,0.15518308,chain_0
-0.20766227,0.22713867,chain_0
-0.20198008,0.19696735,chain_0
-0.19594924,0.19614576,chain_0
-0.23767374,0.19717547,chain_0
-0.23500247,0.19628872,chain_0
-0.21676466,0.17907958,chain_0
-0.20719539,0.12475788,chain_0
-0.2408675,0.17515579,chain_0
-0.22489357,0.19176102,chain_0
-0.21529792,0.20067808,chain_0
-0.2060956,0.17545184,chain_0
-0.20861574,0.17696677,chain_0
-0.22835311,0.18994346,chain_0
-0.24842483,0.19374979,chain_0
-0.21491918,0.21487808,chain_0
-0.22142702,0.17934804,chain_0
-0.18396899,0.17364986,chain_0
-0.2028746,0.14595799,chain_0
-0.22719109,0.1754255,chain_0
-0.24559394,0.19143783,chain_0
-0.25880313,0.1824811,chain_0
-0.21136302,0.16398336,chain_0
-0.22294612,0.1806285,chain_0
-0.20405994,0.17780408,chain_0
-0.21617003,0.18709943,chain_0
-0.23363309,0.17984796,chain_0
-0.20391393,0.16928992,chain_0
-0.20089747,0.1869965,chain_0
-0.21520162,0.16027083,chain_0
-0.23325577,0.17922874,chain_0
-0.19542797,0.14227477,chain_0
-0.20868266,0.15267141,chain_0
-0.20065221,0.14734994,chain_0
-0.2114945,0.1913525,chain_0
-0.22561193,0.18320122,chain_0
-0.23623425,0.22341937,chain_0
-0.2465617,0.19966659,chain_0
-0.19058686,0.17610578,chain_0
-0.20830011,0.19062921,chain_0
-0.21179089,0.18433519,chain_0
-0.2236153,0.2082859,chain_0
-0.22752567,0.21446176,chain_0
-0.208537,0.16342592,chain_0
-0.21460754,0.18514404,chain_0
-0.25818703,0.19128641,chain_0
-0.20980987,0.17040777,chain_0
-0.1990813,0.17463319,chain_0
-0.2311356,0.15558736,chain_0
-0.2183914,0.1761097,chain_0
-0.20516796,0.18372971,chain_0
-0.20975845,0.18339238,chain_0
-0.23175299,0.17542963,chain_0
-0.19929475,0.16181472,chain_0
-0.19093585,0.1607122,chain_0
-0.19226271,0.1700305,chain_0
-0.21765575,0.15744293,chain_0
-0.245559,0.21432695,chain_0
-0.23614827,0.19473502,chain_0
-0.21130134,0.17949915,chain_0
-0.22795907,0.17749338,chain_0
-0.1889517,0.13705632,chain_0
-0.2265967,0.18355861,chain_0
-0.22452183,0.18883744,chain_0
-0.19560221,0.15790363,chain_0
-0.20279393,0.17369379,chain_0
-0.20222828,0.15796863,chain_0
-0.20029154,0.14281538,chain_0
-0.23239516,0.22336462,chain_0
-0.22483984,0.16304807,chain_0
-0.21373817,0.17796367,chain_0
-0.22746451,0.20389077,chain_0
-0.20553245,0.17967762,chain_0
-0.24337174,0.22225682,chain_0
-0.22995101,0.19748777,chain_0
-0.21249312,0.1961107,chain_0
-0.18227884,0.16363068,chain_0
-0.22092888,0.18089496,chain_0
-0.205995,0.1901969,chain_0
-0.20263782,0.18199408,chain_0
-0.22496285,0.19369121,chain_0
-0.22867696,0.17090188,chain_0
-0.22170565,0.16454542,chain_0
-0.22023769,0.20915976,chain_0
-0.19154349,0.14998998,chain_0
-0.21246846,0.16835074,chain_0
-0.21613482,0.15866004,chain_0
-0.21226348,0.1607906,chain_0
-0.21290016,0.18026197,chain_0
-0.20967205,0.20401876,chain_0
-0.23308621,0.20448571,chain_0
-0.2374005,0.19053599,chain_0
-0.24359806,0.21330328,chain_0
-0.21313734,0.15346424,chain_0
-0.22921178,0.18813358,chain_0
-0.20179416,0.19511425,chain_0
-0.22095682,0.19248462,chain_0
-0.21373644,0.18280253,chain_0
-0.21623592,0.19894274,chain_0
-0.22659497,0.22988535,chain_0
-0.21331489,0.16333665,chain_0
-0.23946251,0.20079353,chain_0
-0.2346658,0.22104351,chain_0
-0.21534958,0.22396253,chain_0
-0.2240128,0.19442557,chain_0
-0.2126223,0.17252073,chain_0
-0.19223668,0.16688639,chain_0
-0.2085469,0.15786391,chain_0
-0.21460706,0.17319983,chain_0
-0.20083007,0.15095896,chain_0
-0.21501449,0.1819453,chain_0
-0.23388357,0.19736826,chain_0
-0.23108566,0.17117903,chain_0
-0.2081649,0.20616338,chain_0
-0.22678886,0.16524075,chain_0
-0.23622254,0.16187668,chain_0
-0.20652165,0.18894105,chain_0
-0.21688618,0.18547592,chain_0
-0.21296224,0.18119386,chain_0
-0.18506843,0.14608571,chain_0
-0.2293156,0.17750631,chain_0
-0.22701631,0.17587206,chain_0
-0.19086725,0.18882112,chain_0
-0.21110788,0.16310267,chain_0
-0.20618878,0.17449604,chain_0
-0.2204751,0.19570969,chain_0
-0.21203867,0.16589668,chain_0
-0.20277208,0.15763552,chain_0
-0.2320372,0.22252794,chain_0
-0.20528278,0.17647417,chain_0
-0.23444052,0.2309996,chain_0
-0.18701796,0.14560999,chain_0
-0.19726829,0.18472618,chain_0
-0.24029386,0.19026253,chain_0
-0.24298646,0.18436839,chain_0
-0.2069983,0.1806102,chain_0
-0.2053718,0.17566152,chain_0
-0.22372067,0.21126667,chain_0
-0.21958491,0.18931884,chain_0
-0.22213724,0.17742398,chain_0
-0.20515957,0.15288037,chain_0
-0.23881769,0.18587755,chain_0
-0.21091583,0.1922908,chain_0
-0.22063719,0.17952038,chain_0
-0.2163623,0.19119386,chain_0
-0.20689131,0.1774844,chain_0
-0.19754583,0.17161481,chain_0
-0.25181437,0.21844345,chain_0
-0.23696019,0.21639155,chain_0
-0.24392517,0.1949699,chain_0
-0.22897264,0.19058487,chain_0
-0.22731929,0.20546672,chain_0
-0.2316816,0.192624,chain_0
-0.25009385,0.17147996,chain_0
-0.21454549,0.1635674,chain_0
-0.2121809,0.16936006,chain_0
-0.20084247,0.14323433,chain_0
-0.20370892,0.1538729,chain_0
-0.24046664,0.22906464,chain_0
-0.18960552,0.14357696,chain_0
-0.21506774,0.16362408,chain_0
-0.1889529,0.15792924,chain_0
-0.2100527,0.15477759,chain_0
-0.22280711,0.1694342,chain_0
-0.20951547,0.179077,chain_0
-0.22322573,0.18582314,chain_0
-0.24250442,0.18880792,chain_0
-0.19431454,0.16948585,chain_0
-0.24371986,0.18923451,chain_0
-0.22893229,0.22816058,chain_0
-0.2350918,0.19193374,chain_0
-0.21735299,0.18343493,chain_0
-0.21863404,0.17935166,chain_0
-0.20922253,0.16191395,chain_0
-0.22424287,0.18124616,chain_0
-0.22188027,0.1783306,chain_0
-0.23013988,0.20687844,chain_0
-0.22488265,0.18724,chain_0
-0.21775343,0.18042345,chain_0
-0.21158038,0.15579358,chain_0
-0.19104587,0.15826765,chain_0
-0.17692666,0.15850346,chain_0
